epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,107889,1.68741,1.79277,1.78224,0.3429,0.27698,0.21998,0.08477,2.24555,2.59097,2.27312,0.000763797,0.000763797,0.000763797
176,108257,1.69974,1.80939,1.79319,0.37666,0.22302,0.21782,0.08447,2.24637,2.64082,2.29102,0.000753769,0.000753769,0.000753769
177,108488,1.70238,1.81955,1.78903,0.31296,0.24743,0.21983,0.08049,2.25897,2.53696,2.28714,0.000743769,0.000743769,0.000743769
178,108845,1.71476,1.84118,1.80034,0.30578,0.25899,0.22993,0.08675,2.26509,2.5807,2.29733,0.000733799,0.000733799,0.000733799
179,109198,1.68712,1.81509,1.78724,0.27268,0.28058,0.21789,0.08103,2.26435,2.53149,2.31738,0.000723859,0.000723859,0.000723859
180,109591,1.67434,1.79398,1.76778,0.2864,0.2554,0.22283,0.07737,2.26632,2.65192,2.32566,0.00071395,0.00071395,0.00071395
181,110123,1.66852,1.76666,1.7551,0.3813,0.25051,0.2308,0.09215,2.23967,2.53219,2.31257,0.000704073,0.000704073,0.000704073
182,110630,1.68019,1.7935,1.76289,0.33202,0.27698,0.22891,0.10023,2.22427,2.57717,2.25613,0.00069423,0.00069423,0.00069423
183,110974,1.66826,1.77006,1.75874,0.25817,0.30935,0.23087,0.08976,2.20004,2.55033,2.25188,0.000684422,0.000684422,0.000684422
184,111417,1.66948,1.74756,1.76718,0.29666,0.28676,0.2326,0.085,2.25125,2.57975,2.30333,0.000674649,0.000674649,0.000674649
185,111659,1.65705,1.75847,1.76537,0.24371,0.33094,0.21818,0.08447,2.18953,2.63646,2.26484,0.000664914,0.000664914,0.000664914
186,111961,1.68823,1.78212,1.78145,0.2673,0.30216,0.22134,0.08163,2.26419,2.58176,2.31438,0.000655216,0.000655216,0.000655216
187,112251,1.68309,1.76347,1.77604,0.2548,0.29856,0.21913,0.08067,2.28061,2.56898,2.33804,0.000645557,0.000645557,0.000645557
188,112567,1.64431,1.71893,1.73876,0.28052,0.26978,0.21485,0.08931,2.26137,2.59639,2.29297,0.000635938,0.000635938,0.000635938
189,113041,1.64306,1.70146,1.74486,0.34991,0.25899,0.23687,0.08594,2.28707,2.57754,2.32117,0.00062636,0.00062636,0.00062636
190,113422,1.65768,1.74195,1.7598,0.35252,0.28058,0.23969,0.09208,2.25308,2.57368,2.31362,0.000616824,0.000616824,0.000616824
191,113773,1.63846,1.71999,1.73978,0.29862,0.28417,0.21894,0.08733,2.26092,2.56146,2.31287,0.000607331,0.000607331,0.000607331
192,114004,1.61861,1.68326,1.7238,0.29392,0.27338,0.22237,0.08684,2.25645,2.62897,2.31203,0.000597882,0.000597882,0.000597882
193,114340,1.63115,1.68801,1.72873,0.36896,0.21942,0.21214,0.0866,2.2875,2.6496,2.30913,0.000588479,0.000588479,0.000588479
194,114703,1.63253,1.70306,1.74388,0.24395,0.28777,0.19967,0.07312,2.29252,2.72655,2.3392,0.000579121,0.000579121,0.000579121
195,114960,1.64114,1.72737,1.74822,0.31456,0.27698,0.21638,0.08912,2.27963,2.54157,2.32672,0.000569811,0.000569811,0.000569811
196,115354,1.61571,1.69962,1.72536,0.29355,0.29746,0.23882,0.08872,2.23791,2.59111,2.26785,0.000560549,0.000560549,0.000560549
197,115850,1.6227,1.68426,1.73212,0.3773,0.24847,0.2268,0.08353,2.31904,2.58762,2.36057,0.000551337,0.000551337,0.000551337
198,116274,1.63677,1.69482,1.72461,0.30543,0.30576,0.22252,0.08302,2.27332,2.65113,2.30834,0.000542175,0.000542175,0.000542175
199,116635,1.61326,1.68352,1.73936,0.43084,0.26619,0.25328,0.09866,2.27109,2.49441,2.30246,0.000533064,0.000533064,0.000533064
200,116904,1.61035,1.67805,1.71782,0.39338,0.29496,0.25428,0.09043,2.23929,2.49459,2.27892,0.000524005,0.000524005,0.000524005
201,117215,1.62817,1.66653,1.73781,0.27551,0.29496,0.20776,0.07381,2.27774,2.69211,2.31883,0.000515,0.000515,0.000515
202,117472,1.59355,1.62747,1.70434,0.32038,0.30216,0.21485,0.07743,2.29162,2.62567,2.35392,0.000506049,0.000506049,0.000506049
203,117768,1.60584,1.64951,1.72116,0.4056,0.23741,0.22367,0.08436,2.28159,2.62404,2.32338,0.000497153,0.000497153,0.000497153
204,118192,1.5708,1.61793,1.69519,0.28799,0.29496,0.2167,0.07762,2.2947,2.57642,2.32442,0.000488314,0.000488314,0.000488314
205,118526,1.61158,1.66105,1.72106,0.31414,0.28058,0.23089,0.07597,2.29494,2.5791,2.34424,0.000479531,0.000479531,0.000479531
206,118777,1.56305,1.60323,1.68778,0.26563,0.30216,0.20628,0.07143,2.30012,2.6124,2.36422,0.000470807,0.000470807,0.000470807
207,119065,1.58446,1.62575,1.69499,0.2494,0.28058,0.20545,0.07091,2.28178,2.60738,2.36114,0.000462142,0.000462142,0.000462142
208,119391,1.55625,1.59735,1.68318,0.33625,0.30576,0.24526,0.08479,2.31167,2.57948,2.37232,0.000453537,0.000453537,0.000453537
209,119858,1.56607,1.62017,1.69713,0.31136,0.26259,0.224,0.08017,2.30394,2.55349,2.34973,0.000444994,0.000444994,0.000444994
210,120160,1.59529,1.62682,1.71179,0.35693,0.27698,0.22473,0.08511,2.28081,2.56387,2.33395,0.000436512,0.000436512,0.000436512
211,120463,1.5811,1.6141,1.70983,0.339,0.29137,0.24306,0.08706,2.2936,2.56621,2.32758,0.000428093,0.000428093,0.000428093
212,120968,1.56725,1.57596,1.68615,0.29364,0.27698,0.22008,0.07894,2.32051,2.58055,2.36219,0.000419737,0.000419737,0.000419737
213,121389,1.55788,1.57675,1.68027,0.28764,0.34892,0.25451,0.08719,2.28769,2.54023,2.3385,0.000411447,0.000411447,0.000411447
214,121626,1.54322,1.57588,1.67455,0.29693,0.33813,0.24564,0.08621,2.31799,2.51968,2.34129,0.000403222,0.000403222,0.000403222
215,121970,1.53737,1.57562,1.66364,0.32171,0.34532,0.2547,0.08922,2.31423,2.56164,2.36297,0.000395064,0.000395064,0.000395064
216,122190,1.54033,1.54637,1.65996,0.40411,0.27698,0.26073,0.09088,2.28454,2.53236,2.34978,0.000386973,0.000386973,0.000386973
217,122434,1.57337,1.61749,1.69872,0.39589,0.2554,0.24976,0.09509,2.28402,2.5476,2.35674,0.00037895,0.00037895,0.00037895
218,122710,1.55131,1.55187,1.67491,0.37228,0.26259,0.23962,0.09197,2.28832,2.52891,2.33948,0.000370997,0.000370997,0.000370997
219,122947,1.55939,1.56892,1.68128,0.28498,0.32975,0.22349,0.09179,2.28594,2.52001,2.34374,0.000363114,0.000363114,0.000363114
220,123305,1.53916,1.56048,1.66969,0.31698,0.32052,0.25526,0.09806,2.25973,2.50041,2.30348,0.000355301,0.000355301,0.000355301
221,123815,1.52623,1.54593,1.66194,0.31144,0.29496,0.23575,0.08744,2.31652,2.56693,2.38274,0.000347561,0.000347561,0.000347561
222,124120,1.55473,1.55807,1.66732,0.37949,0.26399,0.2405,0.09046,2.31717,2.52009,2.36577,0.000339893,0.000339893,0.000339893
223,124364,1.54188,1.51284,1.65441,0.32231,0.31295,0.24445,0.0944,2.33093,2.55273,2.37495,0.000332298,0.000332298,0.000332298
224,124714,1.53473,1.56077,1.66082,0.34774,0.29856,0.24439,0.09091,2.31369,2.49967,2.36189,0.000324778,0.000324778,0.000324778
225,125045,1.52937,1.52443,1.65855,0.2876,0.33545,0.23693,0.08538,2.33621,2.54177,2.37514,0.000317333,0.000317333,0.000317333
226,125320,1.52326,1.49892,1.65121,0.35223,0.29137,0.2522,0.09622,2.33085,2.5491,2.40132,0.000309964,0.000309964,0.000309964
227,125719,1.53546,1.55267,1.6655,0.30351,0.32374,0.24759,0.0946,2.31126,2.57755,2.36929,0.000302672,0.000302672,0.000302672
228,126136,1.49676,1.48353,1.6309,0.32625,0.31655,0.24616,0.09309,2.29381,2.53078,2.35863,0.000295457,0.000295457,0.000295457
229,126643,1.52038,1.52191,1.66127,0.32727,0.31323,0.25795,0.09609,2.33336,2.51989,2.38611,0.000288321,0.000288321,0.000288321
230,127005,1.5204,1.51599,1.63818,0.3041,0.33813,0.26225,0.09559,2.32676,2.48502,2.42746,0.000281264,0.000281264,0.000281264
231,127339,1.50117,1.52737,1.63898,0.42743,0.26619,0.26701,0.09887,2.28986,2.51973,2.36258,0.000274287,0.000274287,0.000274287
