epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51749.5,2.12336,2.67112,2.16768,0.22388,0.17986,0.11031,0.04469,2.3138,3.80992,2.32991,0.00191014,0.00191014,0.00191014
43,52122.2,2.18314,2.68275,2.21418,0.15473,0.19784,0.08919,0.03802,2.24699,3.70348,2.2855,0.00190578,0.00190578,0.00190578
44,52364.6,2.16539,2.66682,2.19127,0.16552,0.17266,0.0944,0.0404,2.25229,3.32296,2.27029,0.00190132,0.00190132,0.00190132
45,52572.6,2.16109,2.64862,2.17799,0.25721,0.24101,0.16505,0.06306,2.20128,3.04408,2.22757,0.00189675,0.00189675,0.00189675
46,52890,2.18398,2.7004,2.19992,0.29456,0.2446,0.17461,0.06868,2.13925,2.95979,2.19784,0.0018921,0.0018921,0.0018921
47,55967.2,2.14523,2.66923,2.17749,0.2532,0.20863,0.13241,0.04841,2.23106,3.39863,2.25189,0.00188734,0.00188734,0.00188734
48,56358.7,2.14654,2.6597,2.17166,0.27681,0.22662,0.15485,0.06167,2.20069,3.44875,2.22729,0.00188249,0.00188249,0.00188249
49,56960.8,2.13434,2.63165,2.16052,0.28798,0.26259,0.19907,0.07411,2.1507,2.99421,2.18678,0.00187754,0.00187754,0.00187754
50,57735.2,2.15178,2.68466,2.17714,0.29136,0.27338,0.1607,0.05941,2.14003,3.1791,2.20794,0.0018725,0.0018725,0.0018725
51,58337.1,2.17371,2.6473,2.20352,0.27757,0.24101,0.15851,0.06385,2.2564,3.23334,2.23291,0.00186737,0.00186737,0.00186737
52,58698.7,2.15663,2.63401,2.16214,0.31446,0.27338,0.1799,0.07203,2.15114,2.87507,2.1892,0.00186213,0.00186213,0.00186213
53,59078.7,2.13375,2.62767,2.14957,0.31617,0.24615,0.19497,0.08281,2.13799,2.80964,2.17996,0.00185681,0.00185681,0.00185681
54,59312.2,2.14662,2.62379,2.17463,0.33095,0.2446,0.20117,0.07424,2.19653,3.3049,2.23261,0.00185139,0.00185139,0.00185139
55,59586,2.1155,2.5955,2.15366,0.28065,0.21583,0.1572,0.06118,2.1787,2.81389,2.24927,0.00184588,0.00184588,0.00184588
56,59888.1,2.12151,2.6175,2.1447,0.29859,0.22662,0.15284,0.05295,2.24891,3.15765,2.24242,0.00184028,0.00184028,0.00184028
57,60187.5,2.14136,2.61704,2.15315,0.35659,0.20863,0.18017,0.07433,2.19732,3.20219,2.28845,0.00183459,0.00183459,0.00183459
58,60461.1,2.12076,2.57774,2.15935,0.27855,0.2554,0.19966,0.07431,2.18707,3.08386,2.21608,0.00182881,0.00182881,0.00182881
59,60754.5,2.10277,2.5715,2.12499,0.27437,0.2482,0.18082,0.06691,2.14196,2.8994,2.15854,0.00182294,0.00182294,0.00182294
